i,j,sim
4,34,0.7113664650045779
22,23,0.3374458580704256
14,31,1.0
1,5,0.6419304707385265
9,19,0.7217337962442159
4,35,0.7113664650045779
22,24,0.35843637582632737
14,32,0.7445315120090626
1,6,1.0
9,20,0.5311745247928564
5,6,0.6419304707385265
22,25,0.46661932013868973
14,33,0.10506182482244761
1,7,0.5631973037546727
9,21,0.9059931642485096
5,7,0.38579870656609805
22,26,0.46661932013868973
14,34,1.0
1,8,1.0
9,22,0.545922373957602
5,8,0.6419304707385265
22,27,0.46661932013868973
14,35,1.0
1,9,0.9059931642485096
9,23,0.45436235674931663
5,9,0.6057652684428889
22,28,0.509114411685123
15,16,1.0
1,10,0.7100488845501461
9,24,0.41990219182017907
5,10,0.5460708000656089
22,29,0.46661932013868973
15,17,0.9059931642485096
1,11,0.958575088530196
9,25,0.9059931642485096
5,11,0.6315150270724581
22,30,0.5648515805547357
15,18,1.0
1,12,1.0
9,26,0.9059931642485096
5,12,0.6419304707385265
22,31,0.46661932013868973
15,19,0.7655174806233216
1,13,0.9059931642485096
9,27,0.9059931642485096
5,13,0.6057652684428889
22,32,0.28346598060774525
15,20,0.5655450819344512
1,14,1.0
9,28,0.9674445157046954
5,14,0.6419304707385265
22,33,0.3773283131001662
15,21,1.0
1,15,1.0
9,29,0.9059931642485096
5,15,0.6419304707385265
22,34,0.46661932013868973
15,22,0.46661932013868973
1,16,1.0
9,30,0.9766107372094951
5,16,0.6419304707385265
22,35,0.46661932013868973
15,23,0.3594889274498923
1,17,0.9059931642485096
9,31,0.9059931642485096
5,17,0.6057652684428889
23,24,0.19720833918795383
15,24,0.44886861643137044
1,18,1.0
9,32,0.7180760694335332
5,18,0.6419304707385265
23,25,0.3594889274498923
15,25,1.0
1,19,0.7655174806233216
9,33,0.0982731061868524
5,19,0.543482549937657
23,26,0.3594889274498923
15,26,1.0
1,20,0.5655450819344512
9,34,0.9059931642485096
5,20,0.37281192379335637
23,27,0.3594889274498923
15,27,1.0
1,21,1.0
9,35,0.9059931642485096
5,21,0.6419304707385265
23,28,0.38343389338497125
15,28,0.9220452698481765
1,22,0.46661932013868973
10,11,0.7015565742480707
5,22,0.26490331690446234
23,29,0.3594889274498923
15,29,1.0
1,23,0.3594889274498923
10,12,0.7100488845501461
5,23,0.38033469719692503
23,30,0.5003365405265954
15,30,0.83116838528867
1,24,0.44886861643137044
10,13,0.6758068156185013
5,24,0.2977895480045182
23,31,0.3594889274498923
15,31,1.0
1,25,1.0
10,14,0.7100488845501461
5,25,0.6419304707385265
23,32,0.23311657499209493
15,32,0.7445315120090626
1,26,1.0
10,15,0.7100488845501461
5,26,0.6419304707385265
23,33,0.31457086742812135
15,33,0.10506182482244761
1,27,1.0
10,16,0.7100488845501461
5,27,0.6419304707385265
23,34,0.3594889274498923
15,34,1.0
1,28,0.9220452698481765
10,17,0.6758068156185013
5,28,0.6315150270724581
23,35,0.3594889274498923
15,35,1.0
1,29,1.0
10,18,0.7100488845501461
5,29,0.6419304707385265
24,25,0.44886861643137044
16,17,0.9059931642485096
1,30,0.83116838528867
10,19,0.9667742586049777
5,30,0.5629801958232803
24,26,0.44886861643137044
16,18,1.0
1,31,1.0
10,20,0.41931901893110285
5,31,0.6419304707385265
24,27,0.44886861643137044
16,19,0.7655174806233216
1,32,0.7445315120090626
10,21,0.7100488845501461
5,32,0.5914982460123981
24,28,0.5169376780712426
16,20,0.5655450819344512
1,33,0.10506182482244761
10,22,0.6401760960196676
5,33,0.5455355256043879
24,29,0.44886861643137044
16,21,1.0
1,34,1.0
10,23,0.2328782118338052
5,34,0.6419304707385265
24,30,0.3698335608937746
16,22,0.46661932013868973
1,35,1.0
10,24,0.3360834342897327
5,35,0.6419304707385265
24,31,0.44886861643137044
16,23,0.3594889274498923
2,3,1.0
