i,j,sim
7,23,0.4326231447521877
1,30,0.753289163951318
14,16,0.7452083991089196
33,36,0.5213402335288296
22,27,0.7636852304651358
7,24,0.4444931413957067
1,31,0.3828209934020613
14,17,0.5475465223890305
33,37,0.4396219892003449
22,28,0.6066054637973539
7,25,0.4732194716171176
1,32,0.5155151344418469
14,18,0.68667920897832
33,38,0.5578692352774179
22,29,0.8855796117523418
7,26,0.6050348324248688
1,33,0.5795298206230974
14,19,0.644683351416351
33,39,0.47117931591439804
22,30,0.9047543291958462
7,27,0.561000620257671
1,34,0.6618050006789997
14,20,0.6809512063318024
33,40,0.19676104697459018
22,31,0.4210465067037138
7,28,0.6266967412565752
1,35,0.6183495323206337
14,21,0.39478428944016464
33,41,0.42026225315195276
22,32,0.5483630796749086
7,29,0.6645868911043116
1,36,0.642098997364292
14,22,0.7452083991089196
33,42,0.5112337968573997
22,33,0.42775200989094053
7,30,0.6044558398682511
1,37,0.5256170143225684
14,23,0.6320307299131958
33,43,0.5572936664647821
22,34,0.6689821830054435
7,31,0.6167822842775053
1,38,0.627876457555988
14,24,0.3435667835277657
33,44,0.39131344324483286
22,35,0.3707850670263634
7,32,0.5712649421986864
1,39,0.6196781207146798
14,25,0.40491049409527763
33,45,0.6686492798029186
22,36,0.39850451858616054
7,33,0.5036124784091409
1,40,0.27144467274755024
14,26,0.7123050034615757
33,46,0.3788359887842607
22,37,0.5516481232631203
7,34,0.7122452118409022
1,41,0.5451117262763725
14,27,0.7361742635413313
33,47,0.4909496437900917
22,38,0.5265377676476268
7,35,0.45967900487898017
1,42,0.646096927545484
14,28,0.6805636006498196
33,48,0.40771758431256866
22,39,0.6268553030411237
7,36,0.4805078750416274
1,43,0.8151998536172911
14,29,0.7778668737831959
33,49,0.37294826766082606
22,40,0.2825790722586252
7,37,0.7374726965096208
1,44,0.5374891134419022
14,30,0.7778668737831959
33,50,0.6282709168386527
22,41,0.5518698921568752
7,38,0.5960214941921769
1,45,0.5853447138972001
14,31,0.46490591333856324
33,51,0.5059931197223744
22,42,0.6606170984706857
7,39,0.8119162736982004
1,46,0.502637819436256
14,32,0.4901005924889994
33,52,0.5836342118081922
22,43,0.8258436597100238
7,40,0.42738971173621976
1,47,0.5764813840417272
14,33,0.5594928467388407
33,53,0.5535149472513411
22,44,0.5521579529050797
7,41,0.5847816621546191
1,48,0.5315194149645639
14,34,0.6363904587261521
34,35,0.45009989629070174
22,45,0.6519417821958152
7,42,0.8033300471393586
1,49,0.49265676410283177
14,35,0.6183495323206337
34,36,0.4902015925112044
22,46,0.5133058629394489
