i,j,sim
13,91,0.4503410557511679
28,116,0.4032649792734677
46,123,0.6392607316229686
70,103,1.0
0,39,0.8804957861077007
13,92,1.0
28,117,0.5572314629233605
46,124,1.0
70,104,1.0
0,40,0.7944785754282426
13,93,0.6167297412222914
28,118,0.3897117477525983
46,125,0.9199106967856712
70,105,0.5546802267032785
0,41,0.6637362505317507
13,94,0.5203555379689118
28,119,0.2945034966286608
46,126,0.6392607316229686
70,106,1.0
0,42,0.5235961206013848
13,95,0.49104459792243493
28,120,0.5572314629233605
47,48,0.5661005759511195
70,107,1.0
0,43,0.8165067098159989
13,96,0.6392607316229686
28,121,0.44635964058401295
47,49,0.5661005759511195
70,108,0.7308455144144101
0,44,0.8804957861077007
13,97,0.8804957861077007
28,122,0.36279370785395515
47,50,0.6517292026615257
70,109,0.8804957861077007
0,45,0.3786970841011193
13,98,1.0
28,123,0.5572314629233605
47,51,0.5661005759511195
70,110,1.0
0,46,0.5961533722593182
13,99,0.8080335804252552
28,124,0.44635964058401295
47,52,0.6510863178904485
70,111,0.6392607316229686
0,47,0.5136161549752066
13,100,1.0
28,125,0.4032649792734677
47,53,0.6382438514603637
70,112,1.0
70,113,0.7200264319529204
13,101,1.0
28,126,0.5572314629233605
29,30,0.6728517136401705
0,48,0.8804957861077007
70,114,0.628671845589605
13,102,0.7308455144144101
47,54,0.5661005759511195
29,31,0.5961533722593182
0,49,0.8804957861077007
70,115,0.6508410801339611
13,103,1.0
47,55,0.5661005759511195
29,32,0.5961533722593182
0,50,0.8165067098159989
70,116,0.628671845589605
13,104,1.0
47,56,0.5661005759511195
29,33,0.6392607316229686
0,51,0.8804957861077007
70,117,1.0
13,105,0.5546802267032785
47,57,0.5661005759511195
29,34,0.9164340672699423
0,52,0.55172998921644
70,118,0.6358115620913256
13,106,1.0
47,58,0.4758153055407182
29,35,0.6392607316229686
0,53,0.514033135205658
70,119,0.5427428341876338
13,107,1.0
47,59,0.6517292026615257
29,36,0.6392607316229686
0,54,0.8804957861077007
70,120,1.0
13,108,0.7308455144144101
47,60,0.5619923476561317
29,37,0.7877822625491321
0,55,0.8804957861077007
70,121,0.6392607316229686
13,109,0.8804957861077007
47,61,0.5109061428454197
29,38,0.6392607316229686
0,56,0.8804957861077007
70,122,0.5546802267032785
13,110,1.0
47,62,0.5619923476561317
29,39,0.6392607316229686
0,57,0.8804957861077007
70,123,1.0
13,111,0.6392607316229686
47,63,0.6837098614912986
29,40,0.5914835785554597
0,58,0.7610013830041973
70,124,0.6392607316229686
13,112,1.0
47,64,0.6540296485133408
29,41,0.9620988140089652
0,59,0.8165067098159989
70,125,0.628671845589605
13,113,0.7200264319529204
47,65,0.4758153055407182
29,42,0.4380222877406823
0,60,0.5961533722593182
0,61,0.4592077798671258
0,62,0.5961533722593182
47,66,0.5661005759511195
29,43,0.5961533722593182
70,126,1.0
13,114,0.628671845589605
0,63,0.514033135205658
47,67,0.6313188172319841
29,44,0.6392607316229686
71,72,0.6372778590927098
13,115,0.6508410801339611
0,64,0.5779401260287885
47,68,0.5661005759511195
29,45,0.689588747897829
71,73,0.5546802267032785
13,116,0.628671845589605
0,65,0.7610013830041973
47,69,0.5661005759511195
29,46,1.0
71,74,0.8917412819656423
13,117,1.0
0,66,0.8804957861077007
47,70,0.5661005759511195
29,47,0.5619923476561317
71,75,0.5546802267032785
13,118,0.6358115620913256
0,67,0.410872238072936
47,71,0.6382438514603637
29,48,0.6392607316229686
71,76,0.652146182891977
13,119,0.5427428341876338
0,68,0.8804957861077007
47,72,0.5149151600192619
29,49,0.6392607316229686
71,77,0.5546802267032785
13,120,1.0
